region_id,node_id,object_id,node_center_x,node_center_y,object_centroid_projected_x,object_centroid_projected_y,max_decision_risk,inner_high_risk_radius,outer_stable_radius,required_precision_label_inside_region,convergence_class_distribution,region_class,sample_count,high_risk_sample_count,stable_sample_count,sealed
118,118,geometry:25836914057,144,90,160,90,2.265025,26.870058,,0.003125,threshold_snap:254,UNSEALED_NONCONVERGENT,254,254,0,no
119,119,geometry:25836914057,144,90,160,90,2.265025,26.870058,,0.003125,threshold_snap:254,UNSEALED_NONCONVERGENT,254,254,0,no
120,120,geometry:25836914057,144,90,160,90,2.265025,26.870058,,0.003125,threshold_snap:254,UNSEALED_NONCONVERGENT,254,254,0,no
121,121,geometry:25836914057,144,90,160,90,2.265025,26.870058,,0.003125,threshold_snap:254,UNSEALED_NONCONVERGENT,254,254,0,no
122,122,geometry:25836914057,144,82,160,90,2.269688,28.84441,,0.003125,threshold_snap:237,UNSEALED_NONCONVERGENT,237,237,0,no
123,123,geometry:25836914057,144,82,160,90,2.269688,28.84441,,0.003125,threshold_snap:237,UNSEALED_NONCONVERGENT,237,237,0,no
124,124,geometry:25836914057,144,82,160,90,2.269688,28.84441,,0.003125,threshold_snap:237,UNSEALED_NONCONVERGENT,237,237,0,no
125,125,geometry:25836914057,144,82,160,90,2.269688,28.84441,,0.003125,threshold_snap:237,UNSEALED_NONCONVERGENT,237,237,0,no
126,126,geometry:25836914057,147,77,160,90,2.269688,27.018512,,0.003125,threshold_snap:221,UNSEALED_NONCONVERGENT,221,221,0,no
127,127,geometry:25836914057,148,94,160,90,2.270861,34.409301,,0.003125,threshold_snap:253,UNSEALED_NONCONVERGENT,253,253,0,no
128,128,geometry:25836914057,148,94,160,90,2.270861,34.409301,,0.003125,threshold_snap:253,UNSEALED_NONCONVERGENT,253,253,0,no
129,129,geometry:25836914057,148,94,160,90,2.270861,34.409301,,0.003125,threshold_snap:253,UNSEALED_NONCONVERGENT,253,253,0,no
130,130,geometry:25836914057,149,79,160,90,2.269688,29.698485,,0.003125,threshold_snap:241,UNSEALED_NONCONVERGENT,241,241,0,no
131,131,geometry:25836914057,148,98,160,90,2.270861,31.240999,,0.003125,threshold_snap:251,UNSEALED_NONCONVERGENT,251,251,0,no
132,132,geometry:25836914057,148,90,160,90,2.265025,28,,0.003125,threshold_snap:267,UNSEALED_NONCONVERGENT,267,267,0,no
133,133,geometry:25836914057,148,90,160,90,2.265025,28,,0.003125,threshold_snap:267,UNSEALED_NONCONVERGENT,267,267,0,no
134,134,geometry:25836914057,160,110,160,90,2.267361,28,,0.003125,threshold_snap:182,UNSEALED_NONCONVERGENT,182,182,0,no
135,135,geometry:25836914057,152,82,160,90,2.269688,33.941125,,0.003125,threshold_snap:252,UNSEALED_NONCONVERGENT,252,252,0,no
136,136,geometry:25836914057,152,82,160,90,2.269688,33.941125,,0.003125,threshold_snap:252,UNSEALED_NONCONVERGENT,252,252,0,no
137,137,geometry:25836914057,148,86,160,90,2.269688,34.409301,,0.003125,threshold_snap:253,UNSEALED_NONCONVERGENT,253,253,0,no
138,138,geometry:25836914057,152,82,160,90,2.269688,33.941125,,0.003125,threshold_snap:252,UNSEALED_NONCONVERGENT,252,252,0,no
139,139,geometry:25836914057,152,82,160,90,2.269688,33.941125,,0.003125,threshold_snap:252,UNSEALED_NONCONVERGENT,252,252,0,no
140,140,geometry:25836914057,148,86,160,90,2.269688,34.409301,,0.003125,threshold_snap:253,UNSEALED_NONCONVERGENT,253,253,0,no
141,141,geometry:25836914057,152,82,160,90,2.269688,33.941125,,0.003125,threshold_snap:252,UNSEALED_NONCONVERGENT,252,252,0,no
142,142,geometry:25836914057,148,86,160,90,2.269688,34.409301,,0.003125,threshold_snap:253,UNSEALED_NONCONVERGENT,253,253,0,no
