x,y,classification,first_stable_step,max_decision_risk,max_path_length_delta,max_normal_angle_delta,ownership_transition,stable_at_0.00625,stable_at_0.003125,risk_0.00625,risk_0.003125,path_delta_0.00625,path_delta_0.003125,normal_delta_0.00625,normal_delta_0.003125
39,35,stable,0.02,0.002099,0.01724,0.0,0,1,1,0.000356,0.000409,0.002426,0.002713,0.0,0.0
39,36,stable,0.02,0.001408,0.011458,0.0,0,1,1,0.000342,0.000391,0.002424,0.002711,0.0,0.0
39,37,stable,0.015,0.001881,0.014516,0.0,0,1,1,0.000533,0.000617,0.003203,0.00349,0.0,0.0
39,38,stable,0.016,0.002503,0.019983,0.0,0,1,1,0.00041,0.000477,0.00242,0.002707,0.0,0.0
39,39,stable,0.02,0.001254,0.009395,0.0,0,1,1,0.000328,0.000411,0.001637,0.001925,0.0,0.0
39,40,stable,0.014,0.001893,0.014862,0.0,0,1,1,0.000235,0.000284,0.000854,0.001142,0.0,0.0
39,41,stable,0.016,0.002071,0.016388,0.0,0,1,1,0.000876,0.000559,0.006322,0.003484,0.0,0.0
39,42,stable,0.02,0.001532,0.011839,0.0,0,1,1,0.000785,0.000467,0.005539,0.002701,0.0,0.0
40,26,stable,0.02,0.00201,0.016564,0.0,0,1,1,0.00054,0.000226,0.004005,0.001167,0.0,0.0
40,27,stable,0.018,0.001826,0.014376,0.0,0,1,1,0.000783,0.00048,0.005566,0.002728,0.0,0.0
40,28,stable,0.02,0.001538,0.012624,0.0,0,1,1,0.000702,0.000399,0.005564,0.002726,0.0,0.0
40,29,stable,0.02,0.001972,0.015595,0.0,0,1,1,0.000893,0.000579,0.006343,0.003505,0.0,0.0
40,30,stable,0.018,0.001715,0.013902,0.0,0,1,1,8e-05,0.000535,9.1e-05,0.003503,0.0,0.0
40,31,stable,0.02,0.002034,0.015713,0.0,0,1,1,0.000377,0.000445,0.001651,0.001938,0.0,0.0
40,32,stable,0.02,0.001568,0.012162,0.0,0,1,1,0.00023,0.000317,0.000868,0.001155,0.0,0.0
40,33,stable,0.018,0.001645,0.013428,0.0,0,1,1,0.000152,0.000215,0.000866,0.001153,0.0,0.0
40,34,stable,0.015,0.002261,0.018895,0.0,0,1,1,3.1e-05,9.9e-05,8.3e-05,0.00037,0.0,0.0
40,35,stable,0.02,0.00129,0.009896,0.0,0,1,1,0.000222,0.00029,0.000862,0.001149,0.0,0.0
40,36,stable,0.015,0.001554,0.012173,0.0,0,1,1,0.000208,0.000272,0.00086,0.001147,0.0,0.0
40,37,stable,0.016,0.002163,0.01764,0.0,0,1,1,0.000824,0.000135,0.006328,0.000364,0.0,0.0
40,38,stable,0.02,0.001712,0.013861,0.0,0,1,1,0.000824,0.000526,0.006326,0.003488,0.0,0.0
40,39,stable,0.02,0.001626,0.0133,0.0,0,1,1,0.000711,0.000391,0.005543,0.002705,0.0,0.0
40,40,stable,0.016,0.001793,0.014826,0.0,0,1,1,0.000592,0.000287,0.00476,0.001922,0.0,0.0
40,41,stable,0.02,0.001498,0.011058,0.0,0,1,1,0.000745,0.000443,0.004758,0.00192,0.0,0.0
