edge_id,node_a,node_b,seam_length_px,mean_continuity_discontinuity_score,max_continuity_discontinuity_score,collider_flip_count,domain_flip_count,path_length_delta_mean,path_length_delta_max,step_count_delta_mean,step_count_delta_max,boundary_event_delta_mean,boundary_event_delta_max
122,52,53,2,1.221834,1.221851,2,0,0.110142,0.110185,0.0,0.0,0.0,0.0
123,54,55,2,1.178804,1.178808,2,0,0.002567,0.002577,0.0,0.0,0.0,0.0
124,55,56,2,1.221877,1.221878,2,0,0.11025,0.110251,0.0,0.0,0.0,0.0
125,57,58,2,1.178804,1.178807,2,0,0.002567,0.002575,0.0,0.0,0.0,0.0
126,58,59,2,1.221917,1.221926,2,0,0.11035,0.110372,0.0,0.0,0.0,0.0
127,60,61,2,1.178794,1.178809,2,0,0.002543,0.00258,0.0,0.0,0.0,0.0
128,61,62,2,1.221958,1.221965,2,0,0.110451,0.110469,0.0,0.0,0.0,0.0
129,63,64,2,1.178792,1.178803,2,0,0.002536,0.002564,0.0,0.0,0.0,0.0
130,64,65,2,1.222015,1.222018,2,0,0.110594,0.1106,0.0,0.0,0.0,0.0
131,66,67,2,1.178797,1.178813,2,0,0.00255,0.002588,0.0,0.0,0.0,0.0
132,67,68,2,1.222091,1.222115,2,0,0.110783,0.110844,0.0,0.0,0.0,0.0
133,68,69,2,2.027761,2.029373,2,0,0.069404,0.073433,0.0,0.0,0.0,0.0
134,69,70,2,2.03017,2.033788,2,0,0.075425,0.084471,0.0,0.0,0.0,0.0
135,71,72,2,1.178808,1.178808,2,0,0.002577,0.002577,0.0,0.0,0.0,0.0
136,72,73,2,1.222181,1.222192,2,0,0.111008,0.111035,0.0,0.0,0.0,0.0
137,74,75,2,1.178783,1.178786,2,0,0.002515,0.002521,0.0,0.0,0.0,0.0
138,75,76,2,1.222246,1.222255,2,0,0.11117,0.111194,0.0,0.0,0.0,0.0
139,77,78,2,1.178812,1.178812,2,0,0.002587,0.002587,0.0,0.0,0.0,0.0
140,78,79,2,1.222374,1.222387,2,0,0.111492,0.111525,0.0,0.0,0.0,0.0
141,80,81,2,1.1788,1.178815,2,0,0.002556,0.002594,0.0,0.0,0.0,0.0
142,81,82,2,1.222471,1.222471,2,0,0.111733,0.111734,0.0,0.0,0.0,0.0
143,83,84,2,1.178783,1.178787,2,0,0.002516,0.002524,0.0,0.0,0.0,0.0
144,84,85,2,1.222574,1.222586,2,0,0.111991,0.11202,0.0,0.0,0.0,0.0
