node_id,anchor_id,object_id,projected_tile,projected_x,projected_y,object_centroid_projected_x,object_centroid_projected_y,radial_dist_from_object_centroid,radial_angle_from_object_centroid,nearest_anchor_kind,nearest_corner_dist,nearest_edge_dist,radial_offset_x,radial_offset_y,max_decision_risk,risk_at_0.00625,required_precision_estimate,convergence_class,local_maximum,persistent_mismatch_at_0.00625,threshold_snap_zone
67,geometry:25836914057:centroid,geometry:25836914057,2,160,58,160,90,32.0,-1.570796,Centroid,-1.0,34.0,0,-16,2.257987,2.257199,0.003125,threshold_snap,yes,yes,yes
68,geometry:25836914057:centroid,geometry:25836914057,2,155,63,160,90,27.45906,-1.753907,Centroid,-1.0,39.31921,11,-11,2.257981,2.256209,0.003125,threshold_snap,no,yes,yes
69,geometry:25836914057:centroid,geometry:25836914057,2,144,102,160,90,20.0,2.498092,Centroid,-1.0,55.36244,0,-4,2.257979,2.256222,0.003125,threshold_snap,no,yes,yes
70,geometry:25836914057:centroid,geometry:25836914057,2,140,94,160,90,20.39608,2.944197,Centroid,-1.0,64.19501,-4,4,2.257978,2.257185,0.003125,threshold_snap,no,yes,yes
71,geometry:25836914057:centroid,geometry:25836914057,2,144,106,160,90,22.62742,2.356194,Centroid,-1.0,51.5461,-16,16,2.257976,2.257198,0.003125,threshold_snap,no,yes,yes
72,geometry:25836914057:centroid,geometry:25836914057,2,144,106,160,90,22.62742,2.356194,Centroid,-1.0,51.5461,0,0,2.257976,2.257198,0.003125,threshold_snap,no,yes,yes
73,geometry:25836914057:centroid,geometry:25836914057,2,144,106,160,90,22.62742,2.356194,Centroid,-1.0,51.5461,0,16,2.257976,2.257198,0.003125,threshold_snap,no,yes,yes
74,geometry:25836914057:centroid,geometry:25836914057,2,144,106,160,90,22.62742,2.356194,Centroid,-1.0,51.5461,-8,8,2.257976,2.257198,0.003125,threshold_snap,no,yes,yes
75,geometry:25836914057:centroid,geometry:25836914057,2,144,106,160,90,22.62742,2.356194,Centroid,-1.0,51.5461,-16,0,2.257976,2.257198,0.003125,threshold_snap,no,yes,yes
76,geometry:25836914057:centroid,geometry:25836914057,2,152,66,160,90,25.29822,-1.892547,Centroid,-1.0,42.75512,8,-8,2.257974,2.256219,0.003125,threshold_snap,no,yes,yes
77,geometry:25836914057:centroid,geometry:25836914057,2,152,66,160,90,25.29822,-1.892547,Centroid,-1.0,42.75512,0,-16,2.257974,2.256219,0.003125,threshold_snap,no,yes,yes
78,geometry:25836914057:centroid,geometry:25836914057,2,152,66,160,90,25.29822,-1.892547,Centroid,-1.0,42.75512,-8,-8,2.257974,2.256219,0.003125,threshold_snap,no,yes,yes
